"D_Ctrl1.8m.mm10.nodup.q30"	"D_Ctrl2.8m.mm10.nodup.q30"	"D_Ctrl3.8m.mm10.nodup.q30"	"D_Ctrl4.8m.mm10.nodup.q30"	"D_Ctrl5.8m.mm10.nodup.q30"	"D_Ctrl6.8m.mm10.nodup.q30"	"D_Ctrl7.8m.mm10.nodup.q30"	"D_Ctrl8.8m.mm10.nodup.q30"	"D_Ctrl9.8m.mm10.nodup.q30"	"D_Ctrl10.8m.mm10.nodup.q30"	"D_Ctrl11.8m.mm10.nodup.q30"	"D_Ctrl12.8m.mm10.nodup.q30"	"D_Ctrl13.8m.mm10.nodup.q30"	"D_Ctrl14.8m.mm10.nodup.q30"	"D_Ctrl15.8m.mm10.nodup.q30"	"D_tDEN1.8m.mm10.nodup.q30"	"D_tDEN2.8m.mm10.nodup.q30"	"D_tDEN3.8m.mm10.nodup.q30"	"D_tDEN4.8m.mm10.nodup.q30"	"D_tDEN5.8m.mm10.nodup.q30"	"D_tDEN6.8m.mm10.nodup.q30"	"D_tDEN7.8m.mm10.nodup.q30"	"D_tDEN8.8m.mm10.nodup.q30"	"D_tDEN9.8m.mm10.nodup.q30"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"1:8460001-8470000"	0.699735318118568	0	0	9.90517633194906	15.9955584696555	0	0	0	5.59864647122912	6.04083083861403	30.6750056913091	0	19.9266316749905	0	0	0	197.478830815991	24.6461048204471	48.3894098163637	5.86611372678678	33.0407901771052	86.940383506652	0	116.555835924721	0.006826969884395	0.00682696988440423	3.26638526752414	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:8480001-8490000"	30.0886186790984	0	0	5.66010076111375	2.90828335811918	10.8056497988312	9.90811567385343	1.46974054082337	1.39966161780728	24.1633233544561	7.30357278364502	0	0	1.44471331361829	0	0	56.7153735561496	9.85844192817886	30.7932607922314	45.4623813825975	9.44022576488721	0	11.7553076867296	41.5740561260151	0.0145391397814743	0.01453913978151	1.84849662464795	2.99967890306535	"upsig"	"upsig"	"upsig"	"upsig"
"1:8790001-8800000"	0	0	0	9.90517633194906	0	0	7.78494802945626	0	1.39966161780728	13.8076133454035	0	0	10.7297247480718	5.77885325447318	0	18.5863255644723	6.83317753688549	9.85844192817886	17.5961490241322	8.79917059018017	8.49620318839849	18.9305673764484	30.1229759472445	2.96957543757251	0.000956519730089576	0.000956519730068162	2.04336485354405	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:8910001-8920000"	0	0	0	1.41502519027844	14.5414167905959	0	5.6617803850591	4.4092216224701	1.39966161780728	1.72595166817544	0	1.56038312086767	10.7297247480718	0	0	20.816684632209	6.83317753688549	0	5.86538300804408	14.665284316967	13.2163160708421	0	16.1635480692532	0	0.028321610242096	0.0283216102421351	1.64115152925331	2.28747852745337	"upsig"	"upsig"	"upsig"	"upsig"
"1:9030001-9040000"	0	0	0	29.7155289958472	15.9955584696555	0	9.90811567385343	1.46974054082337	23.7942475027237	13.8076133454035	0	0	10.7297247480718	14.4471331361829	0	5.94762418063113	47.8322427581984	53.5172561815424	38.1249895522865	2.93305686339339	9.44022576488721	0	0	37.8620868290495	0.0469674549411854	0.0469674549412294	1.44385337079192	2.68325986952723	"upsig"	"upsig"	"upsig"	"upsig"
"1:9630001-9640000"	19.5925889073199	308.728335442048	35.4119385826669	1368.32935899925	338.815011220884	344.340040256088	71.4799773613711	51.4409189288178	179.856517888235	119.090665104105	70.8446560013567	18.724597450412	1051.51302531104	424.023357546969	91.5757154975488	2512.12776329407	8511.40593994457	4299.68902953286	139.302846441047	239.77739858241	2118.38666164069	30.1486813773068	44.8171105556565	27.4685727975457	0.0328723410918363	0.0328723410918886	2.73279058197207	1.00963534442959	"upsig"	"upsig"	"upsig"	"upsig"
"1:9690001-9700000"	0	0	0	0	2.90828335811918	0	7.78494802945626	0	11.1972929424582	8.62975834087718	1.460714556729	0	7.66408910576558	15.8918464498012	0	44.6071813547335	4.0999065221313	43.6588142533635	10.2644202640771	0.733264215848347	15.1043612238195	0	1.4694134608412	29.6957543757251	0.0157686942724753	0.0157686942725026	2.16687568438496	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:10190001-10200000"	0	0	0	1.41502519027844	0	4.32225991953249	0	1.46974054082337	2.09949242671092	0	0	3.12076624173533	4.59845346345935	7.22356656809147	0	2.97381209031557	8.19981304426259	2.81669769376539	4.39903725603306	50.595230893536	1.88804515297744	2.80452850021458	82.287153807107	0	0.0457585122614186	0.045758512261464	3.42216633497199	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:10440001-10450000"	0	0	0	23.3479156395942	15.9955584696555	0	14.1544509626477	16.167145949057	1.39966161780728	18.9854683499298	11.685716453832	10.1424902856398	0	37.5625461540756	0	5.94762418063113	1.3666355073771	1.40834884688269	43.9903725603306	7.33264215848348	41.5369933655037	9.81584975075103	62.4500720857509	73.4969920799196	0.0419232603385784	0.0419232603386263	1.46391785588534	-0.0472268495101715	"upsig"	"upsig"	"nosig"	"nosig"
"1:10450001-10460000"	0	0	0	5.66010076111375	17.4497001487151	0	9.90811567385343	5.87896216329346	1.39966161780728	13.8076133454035	17.5285746807481	0	3.83204455288279	18.7812730770378	1.46521144796078	92.9316278223614	2.7332710147542	5.63339538753078	12.4639388920937	17.5983411803603	32.0967676006165	29.4475492522531	0	13.3630894690763	0.041456928523583	0.0414569285236299	1.84472495215708	1.80206734949851	"upsig"	"upsig"	"upsig"	"upsig"
